X-Value, Y-Value, Speed, Number
0.41288462458268366, 0.7021666969589719, 100, 1
0.3653596334312253, 0.5464400164535053, 94, 1
0.3769099935907861, 0.6944297234472008, 100, 2
0.34955623367802785, 0.46023704525670395, 94, 2
0.2841833991792379, 1.3006399647971536, 100, 5
0.2509901757272545, 1.0500664836373728, 94, 5
0.038767517720998346, 2.254623721744455, 100, 6
0.030914604398442708, 2.542797287084956, 94, 6
0.8643393248323561, -1.1641084018098855, 100, 8
0.790756574227307, -1.9655681720347813, 94, 8
0.1782901747706554, 0.20744234098931535, 100, 9
0.16440379961162077, -0.09689392272592423, 94, 9
0.004790265647569791, 0.45673589255478975, 100, 11
0.0021466083778949874, 0.5761137205008757, 94, 11
0.2902593340157074, -0.39491663238853203, 100, 12
0.26961516018251913, 0.10742416560643653, 94, 12
0.14888393583133247, -1.1872160096425186, 100, 13
0.125783215512211, -1.483195423629911, 94, 13
0.06268785214804329, 0.3160239915054004, 100, 14
0.059457608310933, -1.2888699694844874, 94, 14
0.19306274333489576, -0.28247223471115435, 100, 15
0.17092742282636775, -0.6936912289428614, 94, 15
